t_s,mesh_sysid,role,lat,lon,rel_alt_m
78.45,2,follower,-35.3632872,149.1652594,15.00
78.95,2,follower,-35.3632872,149.1652594,15.00
79.45,2,follower,-35.3632872,149.1652594,15.00
79.95,2,follower,-35.3632872,149.1652594,15.00
80.45,2,follower,-35.3632872,149.1652594,15.00
80.95,2,follower,-35.3632872,149.1652594,15.00
81.45,2,follower,-35.3632872,149.1652594,15.00
81.95,2,follower,-35.3632872,149.1652594,15.00
82.44,2,follower,-35.3632872,149.1652594,15.00
82.95,2,follower,-35.3632872,149.1652595,15.00
83.45,2,follower,-35.3632872,149.1652595,15.00
83.95,2,follower,-35.3632872,149.1652595,15.00
84.44,2,follower,-35.3632872,149.1652595,15.00
84.95,2,follower,-35.3632872,149.1652595,15.00
85.45,2,follower,-35.3632872,149.1652595,15.00
85.95,2,follower,-35.3632872,149.1652595,15.00
86.45,2,follower,-35.3632872,149.1652595,15.00
86.95,2,follower,-35.3632872,149.1652595,15.00
87.45,2,follower,-35.3632872,149.1652595,15.00
87.95,2,follower,-35.3632872,149.1652595,15.00
88.45,2,follower,-35.3632872,149.1652594,15.00
88.95,2,follower,-35.3632872,149.1652594,15.00
89.45,2,follower,-35.3632872,149.1652594,15.00
89.95,2,follower,-35.3632872,149.1652594,15.00
90.45,2,follower,-35.3632872,149.1652594,15.00
90.95,2,follower,-35.3632872,149.1652594,15.00
91.45,2,follower,-35.3632872,149.1652594,15.00
91.95,2,follower,-35.3632872,149.1652594,15.00
92.45,2,follower,-35.3632872,149.1652594,15.00
92.95,2,follower,-35.3632872,149.1652594,15.00
93.45,2,follower,-35.3632872,149.1652594,15.00
93.95,2,follower,-35.3632872,149.1652594,15.00
94.45,2,follower,-35.3632872,149.1652594,15.00
94.95,2,follower,-35.3632872,149.1652594,15.00
95.45,2,follower,-35.3632872,149.1652594,15.00
95.95,2,follower,-35.3632872,149.1652595,15.00
96.45,2,follower,-35.3632872,149.1652595,15.00
96.95,2,follower,-35.3632872,149.1652595,15.00
97.45,2,follower,-35.3632872,149.1652595,15.00
97.95,2,follower,-35.3632872,149.1652595,15.00
98.45,2,follower,-35.3632872,149.1652595,15.00
98.95,2,follower,-35.3632872,149.1652595,15.00
99.45,2,follower,-35.3632872,149.1652595,15.00
99.95,2,follower,-35.3632872,149.1652595,15.00
100.45,2,follower,-35.3632872,149.1652595,15.00
100.95,2,follower,-35.3632872,149.1652595,15.00
101.45,2,follower,-35.3632872,149.1652595,15.00
101.95,2,follower,-35.3632872,149.1652595,15.00
102.45,2,follower,-35.3632872,149.1652595,15.00
102.95,2,follower,-35.3632872,149.1652595,15.00
103.45,2,follower,-35.3632872,149.1652595,15.00
103.95,2,follower,-35.3632872,149.1652595,15.00
104.45,2,follower,-35.3632872,149.1652595,15.00
104.95,2,follower,-35.3632872,149.1652595,15.00
105.45,2,follower,-35.3632872,149.1652595,15.00
105.95,2,follower,-35.3632872,149.1652595,15.00
106.45,2,follower,-35.3632872,149.1652595,15.00
106.95,2,follower,-35.3632872,149.1652595,15.00
107.45,2,follower,-35.3632872,149.1652595,15.00
107.95,2,follower,-35.3632872,149.1652595,15.00
108.45,2,follower,-35.3632872,149.1652595,15.00
108.96,2,follower,-35.3632872,149.1652595,15.00
109.45,2,follower,-35.3632872,149.1652595,15.00
109.95,2,follower,-35.3632872,149.1652595,15.00
110.45,2,follower,-35.3632872,149.1652595,15.00
110.96,2,follower,-35.3632872,149.1652595,15.00
111.45,2,follower,-35.3632872,149.1652595,15.00
111.95,2,follower,-35.3632872,149.1652595,15.00
112.45,2,follower,-35.3632872,149.1652595,15.00
112.96,2,follower,-35.3632872,149.1652595,15.00
113.45,2,follower,-35.3632872,149.1652595,15.00
113.95,2,follower,-35.3632872,149.1652595,15.00
114.45,2,follower,-35.3632872,149.1652595,15.00
114.95,2,follower,-35.3632872,149.1652595,15.00
115.45,2,follower,-35.3632872,149.1652595,15.00
115.96,2,follower,-35.3632872,149.1652595,15.00
116.45,2,follower,-35.3632872,149.1652595,15.00
116.95,2,follower,-35.3632872,149.1652595,15.00
117.45,2,follower,-35.3632872,149.1652595,15.00
117.95,2,follower,-35.3632872,149.1652595,15.00
118.45,2,follower,-35.3632872,149.1652595,15.00
118.95,2,follower,-35.3632872,149.1652595,15.00
119.45,2,follower,-35.3632872,149.1652595,15.00
119.95,2,follower,-35.3632872,149.1652595,15.00
120.46,2,follower,-35.3632872,149.1652595,15.00
120.95,2,follower,-35.3632872,149.1652595,15.00
121.46,2,follower,-35.3632872,149.1652595,15.00
121.96,2,follower,-35.3632872,149.1652595,15.00
122.46,2,follower,-35.3632872,149.1652595,15.00
122.96,2,follower,-35.3632872,149.1652595,15.00
123.45,2,follower,-35.3632872,149.1652595,15.00
123.96,2,follower,-35.3632872,149.1652595,15.00
124.45,2,follower,-35.3632872,149.1652595,15.00
124.95,2,follower,-35.3632870,149.1652594,15.00
125.45,2,follower,-35.3632850,149.1652593,15.00
125.96,2,follower,-35.3632775,149.1652592,15.00
126.46,2,follower,-35.3632649,149.1652591,15.00
126.96,2,follower,-35.3632521,149.1652591,15.00
127.46,2,follower,-35.3632425,149.1652592,15.00
127.95,2,follower,-35.3632334,149.1652592,15.00
128.46,2,follower,-35.3632240,149.1652593,15.00
128.96,2,follower,-35.3632146,149.1652593,15.00
129.45,2,follower,-35.3632052,149.1652593,15.00
129.96,2,follower,-35.3631959,149.1652593,15.00
130.46,2,follower,-35.3631868,149.1652593,15.00
130.96,2,follower,-35.3631779,149.1652593,15.00
131.45,2,follower,-35.3631690,149.1652592,15.00
131.96,2,follower,-35.3631601,149.1652592,15.00
132.46,2,follower,-35.3631513,149.1652592,15.00
132.96,2,follower,-35.3631424,149.1652592,15.00
133.46,2,follower,-35.3631335,149.1652592,15.00
133.96,2,follower,-35.3631246,149.1652592,15.00
134.46,2,follower,-35.3631157,149.1652592,15.00
134.96,2,follower,-35.3631068,149.1652592,15.00
135.46,2,follower,-35.3630978,149.1652592,15.00
135.95,2,follower,-35.3630890,149.1652592,15.00
136.46,2,follower,-35.3630802,149.1652592,15.00
136.96,2,follower,-35.3630714,149.1652592,15.00
137.45,2,follower,-35.3630625,149.1652592,15.00
137.96,2,follower,-35.3630529,149.1652592,15.00
138.46,2,follower,-35.3630433,149.1652592,15.00
138.96,2,follower,-35.3630338,149.1652592,15.00
139.46,2,follower,-35.3630253,149.1652592,15.00
139.96,2,follower,-35.3630161,149.1652592,15.00
140.46,2,follower,-35.3630097,149.1652592,15.00
140.96,2,follower,-35.3630090,149.1652593,15.00
141.46,2,follower,-35.3630129,149.1652608,15.00
141.96,2,follower,-35.3630161,149.1652671,15.00
142.46,2,follower,-35.3630158,149.1652791,15.00
142.96,2,follower,-35.3630154,149.1652977,15.01
143.46,2,follower,-35.3630152,149.1653178,15.01
143.96,2,follower,-35.3630155,149.1653329,15.00
144.46,2,follower,-35.3630161,149.1653448,15.00
144.96,2,follower,-35.3630167,149.1653563,15.00
145.46,2,follower,-35.3630171,149.1653679,15.00
145.96,2,follower,-35.3630173,149.1653796,15.00
146.46,2,follower,-35.3630174,149.1653911,15.00
146.96,2,follower,-35.3630173,149.1654023,15.00
147.46,2,follower,-35.3630173,149.1654133,15.00
147.96,2,follower,-35.3630173,149.1654243,15.00
148.46,2,follower,-35.3630173,149.1654351,15.00
148.96,2,follower,-35.3630173,149.1654460,15.00
149.46,2,follower,-35.3630173,149.1654569,15.00
149.96,2,follower,-35.3630173,149.1654679,15.00
150.46,2,follower,-35.3630173,149.1654788,15.00
150.96,2,follower,-35.3630173,149.1654898,15.00
151.46,2,follower,-35.3630173,149.1655007,15.00
151.96,2,follower,-35.3630173,149.1655117,15.00
152.46,2,follower,-35.3630173,149.1655226,15.00
152.96,2,follower,-35.3630173,149.1655335,15.00
153.46,2,follower,-35.3630173,149.1655444,15.00
153.96,2,follower,-35.3630173,149.1655553,15.00
154.46,2,follower,-35.3630173,149.1655662,15.00
154.96,2,follower,-35.3630173,149.1655779,15.00
155.46,2,follower,-35.3630174,149.1655875,15.00
155.96,2,follower,-35.3630175,149.1655906,15.00
156.46,2,follower,-35.3630184,149.1655871,15.00
156.96,2,follower,-35.3630227,149.1655831,15.00
157.46,2,follower,-35.3630317,149.1655828,15.00
157.96,2,follower,-35.3630462,149.1655831,15.01
158.46,2,follower,-35.3630628,149.1655831,15.01
158.96,2,follower,-35.3630757,149.1655828,15.00
159.46,2,follower,-35.3630853,149.1655821,15.00
159.96,2,follower,-35.3630946,149.1655813,15.00
160.46,2,follower,-35.3631041,149.1655807,15.00
160.96,2,follower,-35.3631135,149.1655803,15.00
161.47,2,follower,-35.3631228,149.1655802,15.00
161.96,2,follower,-35.3631319,149.1655802,15.00
162.46,2,follower,-35.3631409,149.1655802,15.00
162.96,2,follower,-35.3631498,149.1655802,15.00
163.47,2,follower,-35.3631587,149.1655802,15.00
163.96,2,follower,-35.3631676,149.1655802,15.00
164.47,2,follower,-35.3631764,149.1655803,15.00
164.96,2,follower,-35.3631853,149.1655803,15.00
165.46,2,follower,-35.3631942,149.1655803,15.00
165.96,2,follower,-35.3632032,149.1655803,15.00
166.47,2,follower,-35.3632121,149.1655803,15.00
166.96,2,follower,-35.3632210,149.1655803,15.00
167.46,2,follower,-35.3632300,149.1655803,15.00
167.96,2,follower,-35.3632389,149.1655803,15.00
168.46,2,follower,-35.3632478,149.1655803,15.00
168.96,2,follower,-35.3632567,149.1655803,15.00
